,datetime,tweetid,text,username,userid,value
847,Fri Apr 07 15:06:07 +0000 2017,8.50364069194453E+017,"RT @IntiChavezPerez: Polisen meddelar att mannen som omhändertogs vid platsen inte är gripen.
De upprepar att de inte bekräftar skottlossni…",gia with a g(ay),270577295,neg
848,Fri Apr 07 14:53:26 +0000 2017,8.50360878016934E+017,@Qatchyy @Anton__H Ingen konfirmerad skottlossning.,Jack in The Box,157776410,neg
849,Fri Apr 07 14:51:58 +0000 2017,8.50360506930037E+017,@Expressen har nu tagit tillbaka BEKRÄFTADE uppgifter om skottlossning vid Fridhemsplan. #stockholm #drottningsgatan #fakenews,Big Kahuna,16612641,neg
850,Fri Apr 07 15:11:53 +0000 2017,8.50365519274402E+017,"Info om skottlossning i Göteborg har kommit in,tungt beväpnad polis har gått in, mall of scandinavia utryms. #PrayForStockholm",aleksandra⁶𓅓,2519618799,pos
851,Fri Apr 07 15:42:45 +0000 2017,8.50373285808394E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",nidek,237902412,none
852,Fri Apr 07 15:37:48 +0000 2017,8.50372042260177E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,mr_nost,3339618634,pos
853,Fri Apr 07 15:35:47 +0000 2017,8.50371532769636E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,Trumpsupporter,8.33918882352157E+017,pos
854,Fri Apr 07 15:35:22 +0000 2017,8.50371430059581E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",kélliè,599267371,none
855,Fri Apr 07 15:34:16 +0000 2017,8.50371151092212E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",brenda had a baby,7.32544228513972E+017,none
856,Fri Apr 07 15:33:16 +0000 2017,8.50370899173937E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",Åsa,605678600,none
857,Fri Apr 07 15:33:11 +0000 2017,8.50370879322284E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Benche,603693661,neg
858,Fri Apr 07 15:31:18 +0000 2017,8.50370407601504E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Jonas Brinck,31157326,neg
859,Fri Apr 07 15:30:19 +0000 2017,8.50370158879281E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",Tekla,195849861,none
860,Fri Apr 07 15:29:39 +0000 2017,8.50369992369606E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,Munisen🌛,7.88887962704605E+017,pos
861,Fri Apr 07 15:22:20 +0000 2017,8.50368148805218E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",Trecy,7.82637212454171E+017,pos
862,Fri Apr 07 15:22:20 +0000 2017,8.50368147966358E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Juho Pylvänäinen,415880200,neg
863,Fri Apr 07 15:18:58 +0000 2017,8.5036730339292E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",ChokladenHanna🍫,3199577251,neg
864,Fri Apr 07 15:18:39 +0000 2017,8.50367223021666E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Jonathan Schiess,552048400,neg
865,Fri Apr 07 15:15:26 +0000 2017,8.50366412547817E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Joel E. Svensson,503643294,neg
866,Fri Apr 07 15:15:00 +0000 2017,8.5036630345821E+017,"RT @Claes_Hemberg: Påkörningen på Drottninggatan: 
Tre döda.
Ingen skottlossning har ägt rum, säger polisen till ekot.
Låt oss inte sprida…",Adam Nilsson,436180322,neg
867,Fri Apr 07 15:14:25 +0000 2017,8.50366156271694E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Johan Öhrsvik,190620301,neg
868,Fri Apr 07 15:13:58 +0000 2017,8.50366043583373E+017,"RT @Claes_Hemberg: Påkörningen på Drottninggatan: 
Tre döda.
Ingen skottlossning har ägt rum, säger polisen till ekot.
Låt oss inte sprida…",Simon Pettersson,975076266,neg
869,Fri Apr 07 15:13:46 +0000 2017,8.50365993436291E+017,RT @Republiken: Helt fucking sinnes att media hoppade på och började sprida rykten om skottlossning och ljög om att polisen bekräftat. Avgå…,♀ Idas sommarvisa ♀,290979402,neg
870,Fri Apr 07 15:13:41 +0000 2017,8.503659731736E+017,"RT @Claes_Hemberg: Påkörningen på Drottninggatan: 
Tre döda.
Ingen skottlossning har ägt rum, säger polisen till ekot.
Låt oss inte sprida…",Simon J,341670782,neg
